plants	گیاهان
pretty	زیبا
world	جهان
Germany	المان
all over	سراسر
little	کوچک
alone	تنها
love	دوست داشتن
kindergarten	مهدکودک
pay for it	پرداخت هزینه ی آن
growing	در حال رشد
grow up	رشد
address	آدرس
again	دوباره
all day long	تمام روز
alphabet	الفبا
become	شدن
call	زنگ زدن
could	توانستن
Could I ...?	من می توانم..؟
die	مردن
early	زود
everybody	هر کسی
exercise	تمرین
first name	نام کوچک
fun	سرگرمی
Glad to meet you	از دیدار شما خوشحالم
had to	باید(گذشته)
hard	سخت
have to	باید(حال)
I’d like	"تمایل دارم، من می خوام"
Just a moment	فقط یک لحظه
last name	فامیلی
learn about something	یادگیری در مورد چیزی
mean	منظور داشتن
more	بیشتر
motor - bicycle	موتور- دوچرخه
much	زیاد
must	باید
on time	به موقع
pay attention to	توجه کن به
pay for	پرداخت هزیته برای
remember	به یاد داشتن
rial	ریال
salad	سالاد
so	خیلی
world	جهان
start	شروع
like	"همانند، شبیه، پسندیدن"
soon	زود
also	همچنین
as	"مانند، بطور مثال"
Asia	آسیا
awake	بیدار
back* (on the back of)	پشت(در پشت)
better	بهتر
cleve	باهوش
climb	بالا رفتن
cloudy	ابری
coconut	نارگیل
cold	سرد
correctly	درست
cow	گاو
dark	تاریک
dialog	گفتگو
drop down	رها کردن
Europe	اروپا
exam	امتحان
far (from)	دور(از)
farm	مزرعه
farmhand	گارگر مزرعه
field	زمین
fix	تعمیر کردن
full 	همه
funny	خنده دار
get late	دیر شدن
go up	بالا رفتن
grass	چمن
green	سبز
have a cold	سرما داشتن
He’s from...	او اهل...
How far	چقدر دور..؟
important	مهم
It’s me.	منم.
Japan	ژاپن
jungle	جنگل
keep	نگه داشتن
kilometer	کیلومتر
land	"سرزمین، خشکی"
laugh	خندیدن
long	طولانی
make	ساختن
meter	متر
monkey	میمون
necessary	لازم
north	شمال
top (on top of)	بالا(در بالای)
pick	انتخاب کردن
piece (of sth)	"تیکه، قطعه ( یک تیکه، یک قطعه )"
post office	اداره پست
quite	کاملا
raise	بالا رفتن
ripe	رسیده
snow	برف
something	یه چیزی
spring	بهار
stand in line	به صف ایستادن
stay	ماندن
take an exam	امتحان گرفتن
thirsty	تشنه
travel	مسافرت
Turkey	بوقلمون
understand	فهمیدن
village	روستا
weather	آب و هوا
What do you do?	چه کار میکنی؟
Where do you come from?	اهل کجایی؟
Where is he from?	او ااز کجاست آمده؟
which	"که، کدام"
Who is it on the phone?	چه کسی پشت خطه؟
Who’s that man?	آن مرد کیست؟
winter	زمستون
angry	عصبانی
anybody	هیچ کس
as...as	مانند
be afraid of	ترسیدن از
boil	جوشاندن
boiling	جوش
by	"کنار، از نزدیک"
clean	تمیز
coat	ژاکت
Englishman	مرد انگلیسی
few	مقدار کم
find	یافتن
fire	آتیش
foot (pl. feet)	پا(دو تا پا)
forget	فراموش کردن
great	عالی
high school	دبیرستان
if	اگر
later	بعدا
leave	ترک کردن
London	لندن
might	ممکن
move	حرکت
number	عدد
out of reach	خارج  از دسترس
outside	"بیرون، خارج از"
page	صفحه
pan	ماهی تابه
pocket	جیب
return	برگشت
servant	خدمتگذار
size	اندازه
sleepy	خواب آلود
solve	حل کردن
story	داستان
telephone number	شماره تلفن
than	از  
therefore	از این رو
time	"زمان، ساعت"
tomato	گوجه فرنگی
until	درس 
whatever	هر چه
where	کجا
who	چه کسی  
wise	خردمند
would	تمایل  
then	سپس
ever	همیشه
a long time	زمان طولانی
another	دیگر
armchair	صندلی راحتی
autumn	پاییز
bedroom	اتاق خواب
beside	درکنار
boot	"پوتین، چکمه"
borrow	قرض گرفتن
branch	شاخه
Chinese	چینی
clear	آشکار
climb (up / down)	بالا رفتن/پایین امدن
comfortable	راحت
deep	عمیق
England	انگلستان
face	صورت
first	اولین
front	جلو
get up	بلند شدن
hand	دست
hear	شنیدن
heavy (snow)	سنگین(برف سنگین)
Help yourself	"بفرمایید، از خودت پذیرایی کن"
interesting	جذاب
loud	با صدای بلند
make a noise	سر و صدا ایجاد کن
May I borrow ... ?	می تونم قرض بگیرم ...؟
maybe	شاید
most	بیشترین
Never mind	"مهم نیست، بیخیال"
noise	سر و صدا  
only	فقط  
out	خارج 
push	کشیدن
right now	همین حالا
road	خیابان
second	دومین
side	"سمت، طرف"
sitting room	اتاق نشیمن
snow	برف
snowplow	برف روب
sorry	متاسفم
taxi - driver	راننده تاکسی
third	سومین
too	همچنین
tooth (pl. teeth)	دندان(دندان ها)
voice	صدا
warm	گرم
What fun it was!	چه جالب بود!
what if	چه می شود اگر
wonder	تعجب
worse	بدتر
worst	بدترین
yard	حیاط
American	آمریکایی
a short time	یک زمان کوتاه
ask for	درخواست
bake	پختن
baker	نانوا
be able	"قادر بودن، توانستن"
be away	دور بودن
bull	گاو نر
bullfight	گاو بازی
butcher	قصاب
change	تغییر
draw	کشیدن
drawing	نقاشی
fight	پرواز
finally	سرانجام
foreign	بیگانه
Frenchman	مرد فرانسوی
get milk (from a cow)	شیر گرفتن(از گاو)
glasses	عینک
go away	گمشو
group	گرو
have got	گرفتن
language	زبان
loudly	یبلند
mushroom	قارچ
order	نظم
overcoat	پالتو
repeat	تکرار
sell	فروختن
sentence	جمله
Spain	اسپانیا
Spanish	اسپانیایی
try	تلاش کردن
United States	ایالات متحده
waiter	خدمتکار مرد
wear	پوشیدن
while	هنگامی که
best	بهترین
above	بالا
at all	ابدا
at last	سرانجام
attractive	جذاب
be going to	قصد کاری را کردن
be wrong	اشتباه کردن
boat	قایق
build	ساختن
burn	سوختن
but	اما
change into	تغییر به
dark	تاریک
else	در غیر این صورت
engine	"ماشین، ماشین بخار"
enough	کافی
fireplace	بخاری
good - looking	خوش تیپ
grandmother*	مادربزرگ
hardly	به سختی
How odd!	چقدر عجیب
ice	یخ
in front of	جلو
kettle	کتری
lid	"کلاهک، پلک چشم"
light	روشنایی
look for	نگاه کردن برای
man	مرد
member	اعضا
once more	یکبار دیگر
nothing	هیچی
opposite of	متضاد
other	دیگری
really	واقعا
rise	بالا آمدن
scotland	اسکاتلند
seat	نشستن
sing	آواز خواندن
smoke	سیگار کشیدن
so many	خیلی زیاد
some more	مقداری بیشتر
steam	بخاری
steam engine	دستگاه بخار
succeed	موفقعیت
team	تیم
turn (into)	برگشتن(به)
wagon	واگن
weigh	وزن
way	راه
close	بسته
air	هوا
art	نقاشی
asleep	خواب 
believe	باور کردن
brightly	روشن
building	ساختمان
certainly	دقیق
cool	خنک
daylight	روز روشن
discover	کشف کردن
distance	فاصله
Don’t worry	نگران نباش
during	"در طی، هنگامه"
elephant	فیل
find one’s way back home	پیدا کردن راه بازگشت یک نفر به خانه
fly	پرواز کردن
fly back	پرواز به
fly by	پرواز با
for certain	برای برخی
get lost	گمشدن
grow	رشد
happen	اتفاق
high	بلند
highway	بزرگراه
hope	امیدوار
insect	حشره
mechanic	مکانیک
migrate	مهاجرت
migration	"مهاجرت، کوچ"
mile	مایل
moon	ماه
mystery	افسانه
nobody	هیچکس
Not at all	به هیچ عنوان
Okay	باشه
plan	"طرح، نقشه"
plenty	بسیاری
same	همانند
season	فصل
secret	مخفی
seed	دانه
shine	درخشیدن
some day	گاهی روزا
south	جنوب
special	ویژه
star	ستاره
still	هنوز
tell	گفتن
housand	هزار
turn down	"رد کردن، پایین امدن"
turn off	خاموش کردن
Will you...?	آیا شما...؟
Would you...?	تمایل دارید...؟
a.m	صبح
Australia	استرالیا
Australian	استرالیایی
be seated	نشسته
be surprised	متعجب شده
Canada	کانادا
Canadian	کانادیایی
change	تغییر
cloth	لباس
dress	لباس
explain	توضیح دادن
feed	خوراک
host	مهمان
India	هند
Indian	هندی
invite	دعوت
Iranian	ایرانی
Italian	ایتالیایی
Italy	ایتالیا
Japanese	ژاپنی
kill	کشتن
kindly	محبت آمیز
lose	گم کردن
nationality	ملیت
no one	هیچکس
p.m.	بعداز ظهر
paint	نقاشی
party	جشن
pass	عبور
person	شخص
poor	ضعیف
put... on	پوشیدن
receive	دریافت کردن
repair	تعمیر
reply	پاسخ
rich	ثروتمند
set	تنظیم
share	اشتراک گذاری
strange	عجیب
sunset	غروب
treat	"رفتار کردن، درمان کردن"
trip	مسافرت
type	نوع
work clothes	لباس کار
spend	مصرف کردن
daughter	دختر
A.D	آگهی
accept	پذیرفتن
across	از میان
add up	اضافه کردن
admire	پذیرفتن
age	سن
all	همه
among	در میان
brush	مسواک زدن
be born	متولد شدن
century	قرن
correct	صحیح
creator	ایجاد کننده
destroy	از بین رفتن
duty	وظیفه
empty	خالی
enemy	دشمن
entire	"تمام، سراسر"
follow	پیروی کردن
follower	پیروی کننده
get sick	مریض شدن
God	خدا
guide	راهنما
guidance	راهنمایی
help	کمک
highly	خیلی
hometown	زادگاه
honesty	صداقت
How about this one?	درباره این یکی چطور؟
idol	بت
Islam	اسلام
last	آخر
look	نگاه
mankind	بشر
Mecca	مکه
Medina	مدینه
message	پیام
Muslim	مسلمان
Okay. I’ll take it.	"باشه، من برش می‌دارم"
own	"شخص، خود"
Peace be upon him.	صلح بر او باشد
preach	نصیحت کردن
prophet	پیامبر
receive (sb) with open arms	با آغوش باز کسی را قبول کردن
send	فرستادن
sense	"حس، احساس"
since	از
sixth	ششمین
title	عنوان
TRUE	درست
trustworthy	قابل اعتماد
truthful	راستگو
truthfulness	حقگویی
turn against	علیه
universe	جهانی
welcome (sb) warmly	خوش آمد گویی (به کسی )با گرمی
What size do you wear?	چه سایز ی می پوشید؟
worship	"عبادت، پرستش"
