abandon	ترک کردن
keen	مشتاق
jealous	حسود
tact	ظرافت(در رفتار)
oath	سوگند
vacant	خالی
hardship	رنج
gallant	شجاع
data	اطلاعات
unaccustomed	نا آشنا
bachelor	آدم (مجرد)
qualify	واجد شرایط بودن
corpse	جسد
conceal	مخفی کردن
dismal	تاریک
frigid	سرد
inhabit	زندگی کردن در
numb	بی حس
peril	خطر
recline	دراز کشیدن
shriek	جیغ(کشیدن)
sinister	شوم
tempt	وسوسه کردن
wager	شرط بندی
typical	نمونه بارز
minimum	حداقل
scarce	کمیاب
annual	سالانه
persuade	ترغیب کردن
essential	لازم
blend	مخلوط (کردن /شدن)
visible	قابل دیدن
expensive	پر هزینه
talent	استعداد
devise	طرح ریختن
wholesale	مربوط به عمده فروشی
vapor	بخار
eliminate	کنار گذاشتن
villain	شخصیت منفی
dense	متراکم
utilize	استفاده کردن از
humid	"(هوا ،آب و هوا) مرطوب"
theory	نظریه
descend	فرود آمدن از
circulate	چرخیدن
enormous	عظیم الجثه
predict	پیش بینی کردن
vanish	غیب شدن
tradition	سنت
rural	روستایی
burden	سنگینی
campus	محوطه دانشگاه
majority	اکثریت
assemble	گرد هم آمدن
explore	کاوش کردن
topic	موضوع
debate	بحث
evade	طفره رفتن از
probe	تحقیق کردن در باره
reform	اصلاح کردن
approach	نزدیک شدن به
detect	کشف کردن
defect	نقص
employee	حقوق بگیر
neglect	توجه نکردن به
deceive	فریب دادن
undoubtedly	بدون تردید
popular	محبوب
thorough	تمام عیار
client	مراجعه کننده
comprehensive	کامل
defraud	فریب دادن
postpone	به تاخیر انداختن
consent	رضایت دادن
massive	عظیم الجثه
capsule	کپسول
preserve	محافظت کردن از
denounce	محکوم کردن
unique	بی نظیر
torrent	سیل
resent	رنجیدن از
molest	آزار رساندن به
gloomy	غمگین
unforeseen	پیش بینی نشده
exaggerate	اغراق کردن
amateur	غیر حرفه ای
mediocre	متوسط
variety	نوع
valid	معتبر
survive	جان سالم به در بردن
weird	غیر عادی
prominent	برجسته
security	امنیت
bulky	حجیم
reluctant	بی میل
obvious	آشکار
vicinity	پیرامون
century	سده
rage	خشم
document	سند
conclude	نتیجه گرفتن
undeniable	انکار ناپذیر
resist	مقاومت کردن
lack	فاقد بودن
ignore	اعتنا نکردن به
challenge	مبارزه طلبی
miniature	ریز
source	منبع
excel	از همه بهتر بودن
feminine	زنانه
mount	بالا رفتن از
compete	رقابت کردن
dread	ترسیدن از
masculine	مردانه
menace	خطر
tendency	تمایل
underestimate	کم برآورد کردن
victorious	پیروز
numerous	بیشمار
flexible	تغییر پذیر
evidence	دلیل
solitary	تنها
vision	دید
frequent	مکرر
glimpse	نگاه سریع
recent	تازه
decade	دهه
hesitate	تردید کردن
absurd	نامعقول
conflict	تعارض
minority	اقلیت
fiction	خیال
ignite	آتش گرفتن/زدن
abolish	برانداختن
urban	شهری
population	جمعیت
frank	بی ریا
