Voracious	"حریص، خیلی گرسنه"	
Indiscriminate	خالی از تبعیض	
Eminent	"برجسته،.الامقام"	
Steeped	خیساندن	
Replete	"انباشته،پرمایه"	
Abound	فراوان بودن	
Technology	تکنولوژی	
Prognosticate	پیش بینی کردن	
Automaton	آدم مکانیکی	
Matron	سرپرستار	
Paradox	"پارادوکس، ضد و نقیض"	
Realm	قلمرو	
Annals	تاریخچه	
Compound	ترکیب	
Tinge	رنگ کم	
Badger	اذیت کردن	
Implore	"التماس کردن، درخواست کردن"	
Drudgery	دوره گرد	
Interminable	پایان ناپذیر	
Perceive	"درک،دریافتن"	
Laconic	کم حرف	
Throng	ازدحام	
Intrepid	بی باک	
Accost	"نزدیک شدن، مشتری جلب کردن"	
Reticent	ساکت	
Furtive	دزدکی	
Felon	جنایتکار	
Plethora	ازدیاد	
Hapless	بی چاره	
Irate	خشمگین	
Pretext	"عذر، بهانه"	
Fabricate	تقلید و جعل کردن	
Adroit	زرنگ	
gesticulate	با سر و دست اشاره کردن	
Vigilant	هوشیار	
Avid	مشتاق	
Cajole	گول زدن	
Rudimentary	"ابتدایی، ناقص"	
Enhance	افزایش	
Nuance	فرق جزئی	
Loathe	نفرت داشتن از	
Reprimand	سرزنش	
Lackluster	تار و بی برق	
Caustic	سوزش آور	
Wrest	"با زور بدست آوردن، غضب کردن"	
Infamous	"رسوا، ننگین"	
Jostle	تنه زدن	
Dupe	ساده دل	
Incipient	اولیه	
Inadvertent	غیر عمدی	
Ominous	بدیمن	
Tremulous	ترسان	
Repudiate	"انکار کردن، رد کردن"	
Cessation	توقف	
Bristle	اماده جنگ شدن	
Euphemism	حسن تعبیری	
Mundane	دنیوی	
Incongruous	نامتجانس	
Condolence	تسلیت	
Stipulate	قرار گذاشتن	
Alacrity	نشاط	
Disdain	تحقیر	
Belligerent	جنگجو	
intimidate	ترساندن	
Feint	ظاهری	
Pugnacious	جنگجو	
Promulgate	اعلام کردن	
Brash	عجول و بی پروا	
Scoff	مسخره	
Belittle	کم ارزش کردن	
Tangible	محسوس	
Laceration	پارگی	
Castigate	تنبیه کردن	
Sordid	کثیف	
Octogenarian	هشتاد ساله	
Solace	"آرامش، مایه تسلی"	
Aspirant	"طالب، آرزومند"	
Dregs	باقی مانده	
Frenzy	دیوانگی	
Scurrilous	زشت	
Rampant	شایع	
Inane	پوچ	
Ethics	اصول اخلاق	
Concur	هم رای بودن	
Clandestine	مخفی	
Flagrant	زشت	
Admonish	تصیحت کردن	
Duress	اجبار	
Culprit	آدم خطاکار یا مجرم	
Inexorable	تسلیم نشدنی	
Egregious	فاحش	
Distraught	"شوریده، ناراحت"	
Duplicity	دورویی	
Acrimonious	تند	
Paucity	اندک	
Elicit	بیرون کشیدن	
Pernicious	مهلک	
Tolerate	تحمل کردن	
Construe	تفسیر کردن	
Impunity	معافیت از مجازات	
Affluent	فراوان 	
Feasible	امکان پذیر	
Discern	تشخیص دادن	
Sally	حمله ور شدن	
Consternation	بهت و حیرت	
Precocious	باهوش	
Perfunctory	سرسری	
Chagrin	غم وغصه	
Perverse	"منحرف، گمراه"	
Deride	تمسخر کردن	
Disparage	بی اعتبار کردن	
Laudable	قابل ستایش	
Fiasco	ناکامی	
Masticate	جویدن	
Eschew	اجتناب کردن	
Quell	فرو نشاندن	
Voluble	چرب و نرم	
Confidant	راز دار	
Obsolescence	کهنگی	
Dubious	مشکوک	
Implacable	کینه توز	
Paroxysm	تشنج	
Reprehensible	سزاوار سرزنش	
Jurisdiction	صلاحیت	
Skirmish	زد و خورد	
Harass	اذیت کردن	
Monolithic	یک پارچه	
Arbitrary	دلخواه	
Indigent	تهی	
Fray	نزاع	
Stymie	مانع شدن	
Effigy	"پیکر، صورت"	
Flout	دست انداختن	
Cognizant	با خبر	
Turbulent	سرکش	
Terminate	خاتمه دادن	
Forthwith	بی درنگ	
Exacerbate	تشدید	
Revert	برگشت	
Oust	"دور کردن، اخراج کردن"	
Emaciated	لاغر	
Surge	"موج، موج خروشان"	
Tranquil	"آرام، آسوده"	
Sanctuary	"محراب، جایگاه مقدس"	
Ascend	بالا رفتن	
Malnutrition	سوء تغذیه	
Afflict	آزردن	
Besiege	محاصره کردن	
Privation	محرومیت	
Sinister	شیطانی	
Ubiquitous	همه جا حاضر	
Remote	از راه دور	
Thwart	خنثی کردن	
Harbinger	پیشرو	
Malignant	سرکش	
Excruciating	مشقت بار	
Respite	استراحت	
Reverberating	طنین انداز	
Fretful	"اخمو، ناراحت"	
Succumb	"تسلیم شدن، از پا در امدن"	
Impresario	مدیر اپرا	
Extortion	اخاذی	
Adverse	مضر	
Asset	دارایی	
Bigot	متعصب	
Blatant	پر سر و صدا	
Entourage	"دوستان، همراهان"	
Virulent	کینه جو	
Venom	"زهر، سم"	
Spew	"با فشار خارج کردن، قی کردن"	
Loath	بیزار	
Solicit	التماس کردن	
Astute	دانا	
Advocate	مدافع	
Ineffectual	بی فایده	
Scrutinize	موشکافی کردن	
Nefarious	"نابکار، زشت"	
Amicable	دوستانه	
Vexatious	مضطرب	
Malady	"بیماری، ناخوشی"	
Inclement	شدید	
Peruse	مطالعه کردن	
Premonition	اخطار	
Desist	دست کشیدن	
Recoil	پس زدن	
Pertinent	مربوط	
mastiff	سگ نگهبان	
Obsess	ایجاد عقده روحی کردن	
Doleful	ماتم زده	
Wan	رنگ پریده	
Histrionics	صحنه سازی	
Elusive	گریزان	
Frustrate	ناامید کردن	
Symptomatic	نشانه ی بیماری	
Interject	مداخله کردن	
Inert	"ساکن، راکد"	
Salient	چشمگیر	
Imminent	حتمی	
Squeamish	سخت گیر	
Engrossed	مجذوب	
Poignant	"تند و تلخ، نیش دار"	
Inundate	زیر سیل پوشاندن	
Fruitless	بی ثمر	
Garbled	درهم	
Sanguine	خوش مشرب	
Phlegmatic	شخص خونسرد و بی رگ	
Corroborate	"تایید کردن، تقویت کردن، اثبات کردن"	
Comprehensive	فراگیر	
Zealous	متعصب	
Coerce	ناگزیر کردن	
Elapse	سپری شدن	
Meticulous	خیلی دقیق	
Domicile	محل اقامت	
Lax	سست	
Sporadic	پراکنده	
Rash	عجولانه	
Conjecture	"حدس ، گمان"	
Obviate	رفع کردن	
Lurid	کم رنگ و پریده	
Quip	"کنایه، طعنه"	
Diatribe	زخم زبان	
Inhibition	"بازداری ، منع"	
Fortuitous	"اتفاقی ، تصادفی"	
Incoherent	بی ربط	
Ilk	"نوع، گونه"	
Prestigious	معتبر	
Placard	اعلان	
Integral	انتگرال	
Remuneration	"پاداش، اجر"	
Nominal	اسمی	
Expunge	نابود کردن	
Flamboyant	زرق و برق دار	
Anathema	لعنت و تکفیر	
Schism	"تفرقه، اختلاف"	
Utopia	جامعه آرمانگرا	
Timorous	ترسو	
Truncated	کوتاه	
Jaunty	جلف	
Fractious	زود رنج	
Ostentatious	"خودنما ، متظاهر"	
Importune	سماجت کردن	
Incontrovertible	مسلم	
Surreptitious	محرمانه	
Haven	پناهگاه	
Subjugate	مطیع کردن	
Ultimate	نهایی	
Eventuate	نتیجه دادن	
Emit	بیرون ریختن	
Subterranean	قنات	
Viable	قابل دوام	
Premise	فرض	
Jeopardize	به خطر انداختن	
Incredulous	بی اعتقاد	
Permeate	نفوذ کردن	
Propitious	مناسب	
Surmise	"گمان، حدس"	
Curtail	"کوتاه کردن، مختصر نمودن"	
Repress	سرکوب کردن	
Cryptic	مرموز	
Inchoate	نیمه تمام	
Aspire	"اشتیاق داشتن، آرزو داشتن"	
Inveigh	با سخن حمله کردن	
Nettle	خون کسی را به جوش آوردن	
Overt	"واضع، عمومی"	
Relegate	واگذار کردن	
Supine	"سست، بی حال"	
Mammoth	ماموت	
Repulse	"دفع، رد"	
Havoc	ویران کردن	
Raze	ویران کردن	
Lethal	مرگبار	
Scurry	حرکت تند و سریع	
Incisive	قاطع	
Precipitate	"رسوب، ناگهانی"	
Stereotype	کلیشه	
Stentorian	"رسا، خیلی بلند"	
Singular	مفرد	
Valor	شجاعت	
Bias	تعصب	
Sinecure	جیره خور ولگرد	
Complicity	همدستی	
Liquidation	تسویه	
Accomplice	شریک یا معاون جرم	
Recant	انکار کردن	
Culpable	مقصر	
Abrogate	لغو کردن	
Alleged	اتهام	
Access	دسترسی	
Invalidate	باطل کردن	
Preclude	مانع	
Persevere	استقامت	
Landmark	راهنما	
Extrinsic	"بیرونی، خارجی"	
Declaim	رجز خوانی کردن	
Fetter	زنجیر	
Paragon	نمونه کامل	
Nomadic	چادر نشین	
Asperity	تلخی و خشونت	
Epithet	لقب	
Controversial	بحث برانگیز	
Indigenous	"بومی، طبیعی"	
Gregarious	خوشه خوشه	
Habitat	زیستگاه	
Cursory	سرسری	
interloper	کسیکه در کار دیگران مداخله میکند و ایشان را  از سود بردن باز می دارد	
Prolific	نیرومند	
Bulwark	خاکریز	
Sedentary	غیر متحرک	
Frugal	باصرفه	
Antithesis	"تضاد، ضدونقیض"	
Altruistic	نوع دوستانه	
Embellish	زینت دادن	
Cache	"نهانگاه، مخزن"	
Coterie	انجمن	
Cupidity	طمع	
Virtuosity	ذوق هنرپیشگی	
Temerity	بی پروایی	
Amorous	عاشق	
Progeny	فرزند	
Saturate	اشباع شده	
Perpetrate	"مقصر بودن، مرتکب شدن"	
Consummate	تمام و کمال	
Subterfuge	"گریز، طفره"	
Concoct	درست کردن	
Fallacious	غلط	
Manifold	چند برابر	
Assiduous	زحمت کش	
Impeccable	بی عیب و نقص	
Fraught	"پر، مملو"	
Resourceful	"کاردان، زیرک"	
Murky	تیره	
Component	جزء	
Hoax	دست انداختن	
Labyrinth	دخمه پر پیچ و خم	
Evaluate	ارزیابی	
Exult	خوشی کردن	
Attest	شهادت دادن	
Gullible	گول خور	
Deploy	گسترش	
Enigma	معما	
Abortive	بی ثمر	
Modify	تغییر	
Accommodate	تطبیق	
Spontaneous	خود به خود	
Innate	ذاتی	
Veneer	"روکش، جلاء"	
Myriad	بی شمار	
Urbane	مودب	
Crave	"آرزو کردن، اشتیاق داشتن"	
Irrelevant	غیر مرتبط	
Deem	خیال کردن	
Inherent	ذاتی	
Buff	گاو وحشی	
Romp	جیغ و داد بازی کردن	
Latent	پنهان	
Tortuous	غیر مستقیم	
Itinerant	دوره گرد	
peregrination	"مسافرت دور، جهان گردی"	
Conjugal	ازدواجی	
Barometer	فشارسنج	
Megalomania	جنون انجام کارهای بزرگ	
Profligate	بی بند و بار	
Strife	نزاع	
Legion	هنگ	
Coup	کودتا	
