elementary	ابتدایی  
compute	محاسبه  كردن
feature	"ویژگی، چهره  "
union	اتحادیه  
self-confidence	"اتکابه خود،اعتماد به نفس  "
impression	اثر
link	"ارتباط ، پیوند"
communicate	ارتباط برقرار کردن  
communications	ارتباطات  
evaluate	ارزیابی کردن  
economically	از نظر اقتصادی  
hire	"استخدام کردن ، کرایه کردن  "
mining	"استخراج معادن ، معدن کاری  "
bone	استخوان  
strategy	"استراژی ، تدبیر  "
cylinder	"استوانه ، سیلندر  "
term	اصطلاح  
emergency	"اضطراري، سريع"
confidence	"اطمینان ، اعتماد به نفس  "
addictive	اعتیاد  
increase	افزايش دادن
economical	"اقتصادی، مقرون به صرفه  "
advisability	اقتضا
Pacific	اقيانوس آرام
though	اگرچه  
pattern	"الگو ، طرح  "
human	"انسان، بشر  "
flexible	انعطاف پذیر  
toe	انگشت پا  
domestic	"اهلي، خانگی  "
Irish	ایرلندی  
climate	آب و هوا  
brick	آجر  
calm	آرام  
release	آزاد کردن  
annoy	"آزار دادن ، اذیت کردن  "
trash	"آشغال ، زباله  "
aware	"آگاه ، با خبر ( از )  "
advertising	"آگهي، تبليغات"
pollution	آلودگی  
beyond	آن طرف
online	"آن لای ، روی خط  "
whether	"آيا، اگر"
mirror	آیینه  
snowfall	باراش برف  
rainfall	بارش باران  
cause	"باعث شدن ، سبب "
raise	"بالا بردن ، بلند کردن  "
superior	"بالاتر، ممتاز"
brotherhood	برادری  
remove	"برداشتن ، بردن ، برکنار کردن  "
magnify	بزرگ نمايي کردن  
lift	"بلندكردن، بالا بردن"
gasoline	بنزين
trap	به دام انداختن  
update	به روز کردن  
normally	"به طور طبیعی ، معمولاً  "
interchangeably	قابل تغيير
besides	به علاوه  
smoothly	به نرمی  
rub	به هم ماليدن
expression	بيان
statement	"بيان، جمله"
emotionless	"بی احساس ، بی تفاوت  "
homeless	"بی خانمان ، آواره  "
unemployment	بیكار
cleanliness	پاكي
base	"پايه، اساس  "
lower	پایین تر  
populated	پر جمعیت  
leap	پرش
projection	طرح تصویر
postal	پستي
stairs	پله ها  
skin	پوست  
crust	پوسته  
victory	پيروزي
achievement	موفقیت
complex	پیچیده  
forecast	پیش بینی کردن  
predict	"پیش بینی کردن ، پیش گویی کردن  "
pioneer	"پیشگام ، پیشتاز  "
suggest	پیشنهاد کردن 
continuously	"پیوسته ، به طور مداوم  "
emphasize	تأکید کردن  
trade	تجارت  
estimate	تخمين زدن
combine	ترکیب کردن  
promotion	"ترویج، ارتقاء  "
recognize	"تشخيص، شناختن"
imagine	تصور کردن  
contrast	تضاد  
definition	تعریف  
vacation	تعطیلي
generalize	"تعميم دادن، كلي گويي"
Locate	"تعيين محل، جادادن"
fault	"تقصير، خطا"
enhance	تقويت
shake	تكان دادن
repetitive	تکراری  
lean	"تکیه دادن ، خم شدن  "
contact	"تماس، ارتباط  "
focus	تمرکز  
concentrate	تمرکز کردن  
tone	"تن ( صدا )، لحن  "
variety	تنوع  
mass	"توده ، جرم  "
develop	توسعه دادن  
developmental	توسعه يافته  
manufacture	تولید كردن  
heading	"تيتر، سرمقاله"
prize	جایزه  
prevent	جلوگیری کردن از  
addition	"جمع، اضافه  "
global	جهانی  
fat	چربی  
multimedia	چند رسانه ای  
mood	"حال، روحیه ، حوصله  "
posture	"حالت بدن، پز  "
volume	"حجم، جلد، درجه صدا"
conjunction	حرف ربط  
audience	"حضار ، شنوندگان  "
right	"حق، درست "
snail	حلزون  
support	"حمایت ، پشتیبانی  "
distract	"حواس را پرت کردن ، گیج کردن  "
server	خادم
particular	"خاص، ویژه  "
specific	"خاص، ویژه  "
damage	"خسارت ، صدمه  "
private	خصوصی  
summary	خلاصه  
bend	"خم کردن ، خم شدن  "
readable	خوانا  
self-employed	خود اشتغالي
solar	خورشیدی 
blood	خون  
charity	"خیرات، بخشش  "
data	"داده ها ، اطلاعات  "
scientist	دانشمند  
voluntary	"داوطلبانه ، اختیاری  "
developing	در حال توسعه  
whereas	در حاليكه
handheld	در دسترس
income	درآمد  
brilliant	درخشان  
within	"درمدت، ظرف"
valley	دره  
access	دسترسي پيدا كردن
category	"دسته بندي، طبقه"
temperature	دما  
colon	دو نقطه ( :)  
recycle	دوچرخه
bike	دوچرخه  
era	"دوره، برهه"
store	"ذخیره کردن، انبار کردن  "
melt	"ذوب كردن، ذوب شدن"
log on	راه اندازي كردن
nun	راهبه  
official	رسمي
vessel	رگ  
suffer	رنج بردن  
overpass	"رو گذر ، پل هوایی  "
rural	روستايي
Procedure	"روند ، فرآیند  "
dream	"رویا دیدن ، تصور کردن  "
lung	"ریه ، شش  "
knee	زانو
Saturn	زحل  
injury	"زخم ، جراحت  "
earthquake	زلزله  
geology	زمين شناسي
background	زمينه  
biography	زندگي نامه  
survive	زنده ماندن  
underpass	زیرگذر  
previous	"سابق ، قبلی  "
construction	ساختار
formation	ساختار
organization	سازمان  
department	"سازمان، اداره"
presentation	سخنرانی  
ceramics	سرامیک
rattle	"سرو صدا، به هم خوردن"
sea level	سطح دریا  
Probe	"سفیه بدون سرنشین ، کاوش گر  "
document	سند  
fuel	سوخت  
usefulness	"سودمندی، فایده  "
exploration	"سياحت، گردش علمي"
planet	سیاره  
flood	سیل  
condition	"شرط، وضع، چگونگی  "
embarrassment	شرمنده شدن
partner	"شریک، دوست  "
shape	شكل
fail	"شکست، رد شدن "
float	"شناور شدن ، معلق بودن  "
urban	شهری  
humor	"شوخی ، شوخ طبعی  "
Soviet	شوروي قديم
method	"شيوه، روش"
explicit	"صريح، واضح"
industry	صنعت  
industrialize	صنعتی كردن 
facial	"صوري، مربوط به چهره"
convent	"صومعه ، دیر  "
proverb	ضرب المثل
tap	ضربات آهسته و پيوسته زدن
guarantee	ضمانت  
attach	ضمیمه کردن  
classify	طبقه بندي
outline	"طرح، خلاصه"
stance	"طرز ايستادن، وضع بدن"
storm	طوفان  
excellent	عالی  
clause	"عبارت، قضيه"
nervousness	"عصبی ، نگران  "
react	عکس العمل نشان دادن  
sign	"علامت ، نشانه  "
scientific	علمی  
mainly	"عمدتاً، اساساً  "
public	عمومی  
cave	غار  
density	"غلظت ، تراکم  "
ankle	"غوزك پا، مچ  "
inaction	غير فعال بودن
unexpected	غيرمنتظره
phase	"فاز، مرحله"
file	"فایل، پرونده  "
forward	"فرستادن، ارائه دادن  "
launch	"فرستادن، پرتاب  "
assume	فرض كردن  
culture	فرهنگ
astronaut	فضانورد  
poverty	فقر  
soccer	فوتبال آمريكايي  
firmly	"قاطعانه ، محکم  "
former	قبلي
heart	قلب  
tin	"قلع ، قوطی حلبی  "
reduce	كاهش دادن
aid	كمك  
labor	"کار ، کارسخت  "
apprentice	"کارآموز ، شاگرد  "
laborer	کارگر  
foil	"کاغذ آلومینیوم ، زرورق  "
decrease	"کاهش یافتن ، کاهش دادن  "
agriculture	کشاورزی  
stretch	"کشیدن، کش دادن  "
Calcutta	کلکته  
quality	کیفیت  
phonograph	گرمافون  
explore	گشتن(سياحت)
crater	"گودال ، دهانه آتش نشان  "
bulb	"گوي، حباب  "
layer	لایه  
material	ماده  
mineral	ماده معدنی  
nutrient	ماده مغذي  
financial	"مالی، پولی  "
liquid	مایع  
mission	مأموریت  
missionary	مبلغ مذهبی  
willing	"متمايل، علاقه مند"
exemplify	مثال زدن  
surrounding	"مجاور ، اطراف  "
protect	محافظت کردن از  
content	محتوي
slum	"محله فقیر نشین ، حلبی آباد  "
environment	"محیط ، محیط زیست  "
brief	مختصر 
various	"مختلف ، متنوع  "
destructive	مخرب  
discipline	"مرتب كردن، نظم دادن"
reference	مرجع
Mars	مریخ  
disturb	"مزاحم شدن ، آشفته کردن  "
distant	"مسافت ، فاصله  "
straight	مستقیم  
